ResNet101_2d1,ResNet101_2d2,ResNet101_3d1,ResNet101_3d2,ResNet101_3d3
0.74427867,0.73549587,0.6701851,0.75815034,0.39828312
0.9998802,0.6434172,0.76636684,0.750693,0.7213483
0.6826918,0.7498677,0.64295197,0.6878712,0.19728905
0.45364058,0.7472358,0.47825968,0.64922637,0.35996076
0.7981632,0.7216469,0.7743234,0.69234085,0.43008852
0.22929677,0.6949585,0.24852961,0.67015207,0.6691687
0.5939808,0.8592909,0.6048238,0.82355666,0.21566173
0.9191394,0.7650765,0.90232164,0.6167568,0.6783669
0.68585604,0.9018624,0.5780914,0.83504355,0.5204006
0.6597987,0.8681652,0.6495213,0.78626955,0.2937104
0.08478314,0.39858785,0.08330047,0.3503253,0.59670913
0.20711169,0.48448357,0.24498107,0.6656426,0.26763943
0.23515663,0.3716759,0.2235975,0.4901272,0.09001738
0.5202157,0.6797766,0.564283,0.7050822,0.9059825
0.07994747,0.43037486,0.080406666,0.45344576,0.3937931
0.5389815,0.42650664,0.5678706,0.3166298,0.7337961
0.1588853,0.81453866,0.22955158,0.7903038,0.67797923
0.43821672,0.58647585,0.39090735,0.5101727,0.55542284
0.16376862,0.55567694,0.18377122,0.6342405,0.40141714
0.7311478,0.6671735,0.6495778,0.6459773,0.40699568
0.9256282,0.67613375,0.8801674,0.7060553,0.52801377
0.20438185,0.924991,0.18739033,0.88975424,0.44890752
0.4022956,0.42536578,0.42070544,0.3169139,0.52776235
0.5458525,0.94199646,0.47944367,0.85227853,0.27737466
0.13745713,0.2597846,0.17347342,0.2824663,0.21574856
0.18254372,0.3917785,0.19435742,0.48190674,0.2783748
0.5066125,0.43754882,0.504651,0.38364297,0.6731321
0.5946245,0.7409515,0.53266525,0.72667885,0.48567688
0.7091156,0.7256558,0.6115166,0.6471887,0.46352646
0.793149,0.58727545,0.76340616,0.5088454,0.63216925
0.37628055,0.8987318,0.31638563,0.80976135,0.3511484
0.3066922,0.6697975,0.38496923,0.53789854,0.58192825
0.88818884,0.6048477,0.8775186,0.6099598,0.43747106
0.5882192,0.6280653,0.54810613,0.5891286,0.54104817
0.41078624,0.52530575,0.31715512,0.40137005,0.7496056
0.47426337,0.5628999,0.3038525,0.3932922,0.35915005
0.7331403,0.25116095,0.7068503,0.28235608,0.33880812
0.20035592,0.6785392,0.39253747,0.6871361,0.54309887
0.647128,0.8454398,0.6559277,0.79381084,0.4809694
0.34018362,0.38466138,0.21490669,0.2798651,0.5604625
0.3280539,0.701401,0.39865372,0.416789,0.44718373
0.19296968,0.5618141,0.24440448,0.7043068,0.36456192
0.16126046,0.6621799,0.2117934,0.6439715,0.7370219
0.24574652,0.7499499,0.31977215,0.5731218,0.68974495
0.20872033,0.60709596,0.22415817,0.5399721,0.72342527
0.45807076,0.6926843,0.48680636,0.68872833,0.7599981
0.7749598,0.537553,0.7191498,0.5770476,0.4994527
